route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN106485F2685294:2023-12-15T00:30:47Z,106485,0,88,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN106485F2685295:2023-12-05T00:34:08Z,106485,0,89,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106485F2898477:2023-12-16T00:32:33Z,106485,0,90,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN107241F2478580:2023-12-16T00:32:33Z,107241,1,91,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN107241F2606422:2023-12-05T00:34:08Z,107241,1,92,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107241F2898491:2023-12-16T00:32:33Z,107241,1,93,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN107260F2477867:2023-12-15T00:30:47Z,107260,1,94,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN107260F2606452:2023-12-05T00:34:08Z,107260,1,95,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN107261F2479467:2023-12-15T00:30:47Z,107261,,96,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN107261F2606472:2023-12-05T00:34:08Z,107261,,97,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN107284F2586124:2023-12-16T00:32:33Z,107284,1,98,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN107284F2656926:2023-12-15T00:30:47Z,107284,1,99,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN107284F2665828:2023-12-05T00:34:08Z,107284,1,100,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN107284F2667899:2023-12-05T00:34:08Z,107284,1,101,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107284F2898501:2023-12-16T00:32:33Z,107284,1,102,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN107300F2488360:2023-12-16T00:32:33Z,107300,1,103,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN107300F2606764:2023-12-05T00:34:08Z,107300,1,104,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107300F2898769:2023-12-16T00:32:33Z,107300,1,105,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN107306F2482130:2023-12-16T00:32:33Z,107306,1,106,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN107306F2606468:2023-12-05T00:34:08Z,107306,1,107,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107306F2898292:2023-12-16T00:32:33Z,107306,1,108,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN107359F1075038:2023-12-16T00:32:33Z,107359,1,109,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN107359F2606536:2023-12-05T00:34:08Z,107359,1,110,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107359F2898459:2023-12-16T00:32:33Z,107359,1,111,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN107455F2479598:2023-12-16T00:32:33Z,107455,1,112,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN107455F2606490:2023-12-05T00:34:08Z,107455,1,113,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107455F2898458:2023-12-16T00:32:33Z,107455,1,114,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN108203F1074669:2023-12-16T00:32:33Z,108203,,115,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN108203F2606416:2023-12-05T00:34:08Z,108203,,116,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN108203F2898457:2023-12-16T00:32:33Z,108203,,117,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN108241F2479443:2023-12-15T00:30:47Z,108241,0,118,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN108241F2606471:2023-12-05T00:34:08Z,108241,0,119,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN108260F2481233:2023-12-15T00:30:47Z,108260,0,120,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN108260F2606433:2023-12-05T00:34:08Z,108260,0,121,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN108284F2478990:2023-12-16T00:32:33Z,108284,0,122,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN108284F2606446:2023-12-05T00:34:08Z,108284,0,123,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN108284F2898454:2023-12-16T00:32:33Z,108284,0,124,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN108300F2480109:2023-12-15T00:30:47Z,108300,0,125,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN108300F2606505:2023-12-05T00:34:08Z,108300,0,126,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000031,OCESN108359F1991282:2023-12-16T00:32:33Z,108359,0,127,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN108359F2479142:2023-12-15T00:30:47Z,108359,0,128,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN108359F2606499:2023-12-05T00:34:08Z,108359,0,129,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000032,OCESN108359F2606510:2023-12-05T00:34:08Z,108359,0,130,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN108359F2898484:2023-12-16T00:32:33Z,108359,0,131,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN108440F2477457:2023-12-16T00:32:33Z,108440,0,132,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN108440F2479575:2023-12-15T00:30:47Z,108440,0,133,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN108440F2606381:2023-12-05T00:34:08Z,108440,0,134,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN108440F2606498:2023-12-05T00:34:08Z,108440,0,135,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN108440F2898448:2023-12-16T00:32:33Z,108440,0,136,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN108444F2479448:2023-12-15T00:30:47Z,108444,0,137,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN108444F2606576:2023-12-05T00:34:08Z,108444,0,138,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13100F2637208:2023-12-17T00:29:43Z,13100,0,139,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13101F2635066:2023-12-17T00:29:43Z,13101,1,140,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13102F2636616:2023-12-17T00:29:43Z,13102,0,141,
